timestamp,speaker,words,tags,county
,Jerry Schutz,"That was back in 1996, the anti-gay initiative in Idaho, they were trying to run a gay initiative and Proposition One and you wouldn’t be able to talk about being gay in public schools, it would’ve openly allowed all the discrimination that we’ve gotten rid of, it would’ve made sure that you’d never have a hate crime because it took out the hate crime provisions and there was, oh yeah and it codified the fact that you could evict, discriminate and jobs because somebody was gay. So yeah, it was a really nasty, mean spirited proposition. We spent all summer fighting it, at the end of the, after we had finally won in November, we had a dance down in Lewiston surprisingly. Surprise, surprise, another dance and while we were there, I drove a van down and took like ten people down from Moscow because I had vans, I owned Link Transportation, I was a bus company so, drove down the Lewiston and this kid comes up to me, three times and says, ‘you know, you’re really cute, will you call me.’ Yeah whatever and you know, like the fourth time, he takes a match book and goes ‘you know, my number’s in there, will you call me.’ And I’m like yes I will call you, just leave me alone and that’s how I met Will. We had two dates, both of them were miserable failures, the first one he showed up with a twelve pack of Bud Light, Bud Light, a pepperoni pizza and reservoir dogs for a movie, it was really not a wonderful thing. The next time we had, went out, I made salmon, he doesn’t like salmon, I made strawberry shortcake, he’s allergic to strawberries and I made asparagus and he doesn’t like asparagus. And then the next date I think we went out to a restaurant and in the middle of it I got a pager and had to get and drive to Spokane, so left him there and paid for the meal, but he ended up eating alone and so yeah, it really wasn’t supposed to work, but we made it work and we were together five years. We had just started remodeling the trailer, he went to a party at midnight because we had been working all day, I was ready to go to bed, so I was ‘yeah go party, have fun’ and um, he never came home.",politics; homophobia,
,Denise,"That’s so crazy, did they ever find him?",,
,Jerry Schutz,"Um, not as such. There was some skull and a jaw bone found maybe three or four years later out somewhere by Boville by some turkey hunters and they 95% identified it by dental record that it was his, but it’s still not",,
,Denise,Not confirmed? ,,
,Jerry Schutz,Not confirmed. ,,
,Denise,Were you close to his family? ,,
,Jerry Schutz,"Oh yeah, I was close to him mom and dad.",,
,Denise,"Yeah. That’s horrible. So, nobody knows what happened?",,
,Jerry Schutz,Nobody knows what happened.,,
,Denise,Nobody said anything at the party?,,
,Jerry Schutz,"It’s still an open, active case. It was a subject of MSNBS missing persons, it was a subject of Robert Stacks, whatever that is, unsolved mysteries and yeah, so we still never had any real closure. It’s still an active case at Moscow Police Department, every once in a while we’ll get a phone call and there will be something, some lead, some recent thing a few years ago, I got an email from somebody who wanted to talk about it because he was doing a documentary about it and I just didn’t feel like opening those scabs again and going through it with him, so I just kinda let that one slide by.",,
,Denise,Wow. That's crazy. ,,
,Jerry Schutz,"But you know, if you think about it, most people when they lose a partner, they have closure you know, I spent four years wondering if I was going to walk in the door and find him sleeping one the couch, every single day. It was a really hard place to be not knowing, you know, what happened to him and it’s still don’t know, but I have to move on and just that’s one of those things in my life.",,
,Denise,"You've had an amazing life, Jerry. ",,
,Jerry Schutz,I’ve had an interesting life.,,
,Denise,Definitely.,,
,Jerry Schutz,"I think there’s maybe a Chinese proverb, ‘may you live in interesting times.’",,
,Denise,I guess. ,,
,Jerry Schutz,I guess I have in interesting times,,
,Denise,"Can you talk about discrimination and go back to, you talked about the Prop One, which I didn’t know about, have you ever been discriminated against? That you’re aware of?",q-legislate; q-discrimination,
,Jerry Schutz,"Interesting. Probably. Probably more discriminated because I was a white male than I was a gay white male. Yeah, I, you asked about one of the factors that might have contributed, to you know, being a white male has its privileges, I mean really hard to say that, but if I was a man of color or Hispanic or a female I think my life might have turned out a little bit differently, but yeah, I got lucky and was born into the privileged class. Sorry.",;q-legislate; q-discrimination,
,Denise,Don’t be sorry. Have you or anyone you know been victims of a hate crime? Like did you think Will?,q-victim,
,Jerry Schutz,"Yes. I think there’s a possibility that Will was a victim of a hate crime. I don’t really subscribe to that because the idea of a hate crime is you want to find something, you want to terrorize, and so, I, that one has always kind of been an issue, you know on my, I can find people that will tell you ‘yes it was a hate crime.’ I can find people that will tell you ‘yeah I don’t know. Could’ve been a crime of passion.’ Have there been hate crimes, yes. Do I know people who have been beat up, been abused, been verbally assaulted, had their car spray-painted, had their windows broken, had house broken into, um yeah. I know all of those things, I’ve seen the ugly that happens and it’s sad you know, you really go to a gay pride event, I know I said I really don’t like those, but of the things about it, you go to Seattle’s gay pride, all a sudden you have fifty thousand people that have one thing in common, five minutes and but, you feel like a community, you walk down the street, you see people holding hands you know, you see, see a gay couple or a lesbian couple, people kissing on the street and you’re like ‘oh this a perfect world’ and then you come back the real world and it’s not a perfect world and I don’t think it ever will be a perfect world and that’s really the saddest part, you know alright so, we win liberalized thinking or you know, anti-discrimination for gays and lesbians, well we gotta have another scapegoat, so they will find the small minded people who, who hate, who have problems with people being different. They will find someone else to persecute. It has always been that way and it’s really a sad, sad commentary on human existence, that we are remembered by who we victimize.",homophobia;q-victim,
0:56:10,Denise,Talk about being a republican in Idaho?,,
,Jerry Schutz,"There’s not much to say. They are the party of choice. You know, seventy percent of this silly state, one million people, 1.5 million I think is what the state has, seventy thousand, eighty thousand people who voted, well no, there was really only I think thirty percent of them who voted, so take thirty percent out of one million, 1.5 million and I’m not gonna do the head math, well I probably could, so that’s maybe fifty thousand people, yeah five times three is fifteen, 1.5, so let’s say about fifty thousand people went to the pulls and voted, seventy percent of that fifty thousand voted for Donald Trump, that’s really disheartening. We have the reddest legislator in the country, at one point we had two democrats in the legislator, you put and ‘R’ behind your name and you run, that’s how we got out current senator and if you’re looking at this from twenty years ago, his name was Dan Foreman and he was a piece of shit, probably the worst thing I have said on the entire, entire tape, I used shit, he is mean, he is narrow minded, and how he got elected, I will never understand other than in Donald Trump’s coat tails because he had an ‘R’ behind his name. His first piece of legislation was to prosecute women and the doctors that perform abortions of first-degree murder. He voted against funding the university of Idaho, this year, the budget, he voted against it, out of all of the senators, it was whatever to one and he was the one. He comes from a university district, you don’t vote against the university, so yeah, I have no use for him. Yeah, the Republican Party politics, the religious right and the weirdos have taken over the party. It is not the party I grew up with, the democrats are not the party I want to be, I think we need somewhere else to go and I don’t think it’s the Greens and I really don’t think it’s the Libertarians, I did give my vote to the Libertarians this time because well, I just couldn’t vote for either one of the major parties and I’d rather give my vote to the third party and maybe get closer to having a third viable party in this country or a fourth or a fifth.",politcs,
,Denise,What do you think of the lack of legislation for the LGBTQ community in Idaho?,q-legislate,
,Jerry Schutz,"We don’t want to run. I mean you know, if you run, be a republican, be a democrat, I don’t care, but you know when I ran for city council, one of my opponents tried to turn it into or one of the newspaper tried to turn it into a campaign issue and I took the same tactic I’ve taken my entire life, I mean, five minutes, you cannot judge my qualifications on something that takes five minutes, once every three weeks, stop. You know, yeah, I’m gay, but I’m a lot of other things too, so you know, gay person runs, you know at this point it’s not gonna be an issue. It’s just, why would you want to run because it’s not fun and you know, unless you really have a passion about it, yeah, it’s not worth it. Yeah, you know I came to realize that when I was in the planning and zoning commission, I had more power than the city council members. Just from the stand point that I actually wrote policy or helped write policy and laws and rules, they don’t call them rules, they call them ordinances, anyway these rules, I helped write those for the betterment of the city and I didn’t have to vote on it, I just you know, sent it up to city council and then they approve it. The work took place down there, it didn’t take place at the city council and city council, in a lot of ways you’re constrained on what you can say because once the subject is, well the way it used to be was once a subject had a decision, you know you didn’t descend against the decision, you wrote and descending opinion and then you moved on. You didn’t keep beating a dead horse or tweeting about and you know, so one of the things that’s going to come out of this, this diabolical that is Donald Trump, is were gonna have some kind of redefinition of what is, what it is to be a politician, what it is to be a leader, what it is to be an elected official and we’re either gonna have a really interesting dynamic when this finishes shaking out. You know, we may end up with a different kind of relationship with our elected officials.",politcs;q-legislate,
1:01:15,Denise,I think that’s everything unless there’s something else you can think of that you didn’t get to say.,,
,Jerry Schutz,"God, I just, I don’t even know what I’m saying. I’m just rambling.",,
,Denise,It’s still good.,,
